20080325,DEQ,DEUTSCHE EUROSHOP AG O.N.
20080325,DEZ,DEUTZ AG O.N.
20080325,DOU,DOUGLAS HOLDING O.N.
20080325,EAD,EUROP.AERON.DEF.+SP. EADS
20080325,FRA,FRAPORT AG FFM.AIRPORT
20080325,FRE3,FRESENIUS SE VZ O.ST O.N.
20080325,GFJ,GAGFAH S.A. NOM.  EO 1.25
20080325,G1A,GEA GROUP AG
20080325,GIL,GILDEMEISTER AG O.N.
20080325,HHFA,HAMBURG.HAFEN U.LOG.A-SP
20080325,HNR1,HANN.RUECKVER.AG NA O.N.
20080325,HDD,HEIDELBERG.DRUCKMA.O.N.
20080325,HEI,HEIDELBERGCEMENT AG O.N.
20080325,HOT,HOCHTIEF AG
20080325,BOS3,HUGO BOSS AG VZO O.N.
20080325,IVG,IVG IMMOBILIEN AG O.N.
20080325,SDF,K+S AG O.N.
20080325,KCO,KLOECKNER + CO AG NA
20080325,KRN,KRONES AG O.N.
20080325,IWK,KUKA AG
20080325,LXS,LANXESS AG
20080325,LEO,LEONI AG NA O.N.
20080325,MLP,MLP AG
20080325,MTX,MTU AERO ENGINES NA O.N.
20080325,NDA,NORDDT.AFFINERIE O.N.
20080325,PFD4,PFLEIDERER AG
20080325,PRA,PRAKTIKER BAU-U.H.HLDG ON
20080325,PRE,PREMIERE NA O.N.
20080325,PSM,PROSIEBENSAT.1 O.N.VZO
20080325,PUM,PUMA AG
20080325,RHM,RHEINMETALL AG
20080325,RHK,RHOEN-KLINIKUM O.N.
20080325,SZG,SALZGITTER AG O.N.
20080325,SGL,SGL CARBON AG O.N.
20080325,SAZ,STADA ARZNEIMITT.VNA O.N.
20080325,SZU,SUEDZUCKER MA./OCHS. O.N.
20080325,SY1,SYMRISE AG INH. O.N.
20080325,TGM,TOGNUM AG
20080325,VOS,VOSSLOH AG O.N.
20080325,WCH,WACKER CHEMIE        O.N.
20080325,WIN,WINCOR NIXDORF O.N.
20060618,ARL,AAREAL BANK AG
20060618,AMB2,AMB GENERALI HOLDING AG
20060618,AWD,AWD HOLDING AG O.N.
20060618,HVM,BAY.HYPO-VEREINSBK.O.N.
20060618,BEI,BEIERSDORF AG O.N.
20060618,GBF,BILFINGER BERGER AG
20060618,CLS1,CELESIO AG NAM. O.N.
20060618,DEP,DEPFA BANK PLC     EO 0.3
20060618,DEQ,DEUTSCHE EUROSHOP AG O.N.
20060618,DEZ,DEUTZ AG O.N.
20060618,DOU,DOUGLAS HOLDING O.N.
20060618,EAD,EUROP.AERON.DEF.+SP. EADS
20060618,FIE,FIELMANN AG O.N.
20060618,FRA,FRAPORT AG FFM.AIRPORT
20060618,FRE3,FRESENIUS AG VZ O.ST O.N.
20060618,G1A,GEA GROUP AG
20060618,HNR1,HANN.RUECKVER.AG NA O.N.
20060618,HDD,HEIDELBERG.DRUCKMA.O.N.
20060618,HEI,HEIDELBERGCEMENT AG O.N.
20060618,HOT,HOCHTIEF AG
20060618,BOS3,HUGO BOSS AG VZO O.N.
20060618,IKB,IKB DT.INDUSTRIEBANK O.N.
20060618,IVG,IVG IMMOBILIEN AG O.N.
20060618,IWK,IWKA AG O.N.
20060618,SDF,K+S AG O.N.
20060618,KAR,KARSTADT QUELLE AG O.N.
20060618,KRN,KRONES AG O.N.
20060618,LXS,LANXESS AG
20060618,LEO,LEONI AG NA O.N.
20060618,MRK,MERCK KGAA O.N.
20060618,MLP,MLP AG
20060618,MTX,MTU AERO ENGINES NA O.N.
20060618,NDA,NORDDT.AFFINERIE O.N.
20060618,P1Z,PATRIZIA IMMOBILIEN NA ON
20060618,PFD4,PFLEIDERER AG
20060618,PRA,PRAKTIKER BAU-U.H.HLDG ON
20060618,PRE,PREMIERE NA O.N.
20060618,PSM,PROSIEBENSAT.1 O.N.VZO
20060618,PUM,PUMA AG
20060618,RHM,RHEINMETALL AG
20060618,RHK,RHOEN-KLINIKUM O.N.
20060618,SZG,SALZGITTER AG O.N.
20060618,SRZ,SCHWARZ PHARMA AG O.N.
20060618,SGL,SGL CARBON AG O.N.
20060618,SAZ,STADA ARZNEIMITT.VNA O.N.
20060618,SZU,SUEDZUCKER MA./OCHS. O.N.
20060618,TNH,TECHEM O.N.
20060618,VOS,VOSSLOH AG O.N.
20060618,WCH,WACKER CHEMIE        O.N.
20060618,WIN,WINCOR NIXDORF O.N.
20021031,DB1,DEUTSCHE BOERSE NA O.N.  
20021031,BEI,BEIERSDORF AG O.N.       
20021031,CON,CONTINENTAL AG O.N.      
20021031,WAD3,WELLA AG VORZ.           
20021031,GEH,GEHE AG O.N.             
20021031,MRK,MERCK KGAA O.N.          
20021031,HEI,HEIDELBERGCEMENT ST O.N. 
20021031,AMB2,AMB GENERALI HOLDING AG  
20021031,MDN,MEDION AG O.N.           
20021031,MGT,MG TECHNOLOGIES AG       
20021031,KAR,KARSTADT QUELLE AG O.N.  
20021031,SAZ,STADA ARZNEIMITT.VNA O.N.
20021031,SZU,SUEDZUCKER MA./OCHS. O.N.
20021031,SDF,K+S AG O.N.              
20021031,CZZ,CELANESE AG O.N.         
20021031,BUD,BUDERUS AG O.N.          
20021031,PUM,PUMA AG                  
20021031,IKB,IKB DT.INDUSTRIEBANK O.N.
20021031,DOU,DOUGLAS HOLDING O.N.     
20021031,HDD,HEIDELBERG.DRUCKMA.O.N.  
20021031,FRA,FRAPORT AG FFM.AIRPORT   
20021031,HNR1,HANN.RUECKVER.AG NA O.N. 
20021031,IVG,IVG IMMOBILIEN AG O.N.   
20021031,GBF,BILFINGER BERGER AG      
20021031,PSM,PROSIEBENSAT.1 O.N.VZO   
20021031,AVA,AVA AG O.N.              
20021031,WCM,WCM BET.-U.G. O.N.       
20021031,DGX,DEGUSSA AG O.N.          
20021031,NBG6,NUERNBERGER BET.AG O.N.  
20021031,HOT,HOCHTIEF AG              
20021031,IWK,IWKA AG O.N.             
20021031,ARL,AAREAL BANK AG           
20021031,TGH,THIEL LOGISTIK AG        
20021031,BOS3,HUGO BOSS AG VZO O.N.    
20021031,RHK3,RHOEN-KLINIKUM VZO O.N.  
20021031,NDA,NORDDT.AFFINERIE O.N.    
20021031,SZG,SALZGITTER AG O.N.       
20021031,SRZ,SCHWARZ PHARMA AG O.N.   
20021031,FIE,FIELMANN AG O.N.         
20021031,HBH3,HORNBACH HOLD.VZO O.N.   
20021031,MAV,MANNHEIMER AG HOL.O.N.VNA
20021031,SKB,KOENIG + BAUER AG ST O.N.
20021031,AWD,AWD HOLDING AG O.N.      
20021031,RHM3,RHEINMETALL AG VZ.       
20021031,KRN3,KRONES AG VZO O.N.       
20021031,SGL,SGL CARBON AG O.N.       
20021031,BZL,BERU AG O.N.             
20021031,ZPF,ZAPF CREATION AG O.N.    
20021031,TNH,TECHEM O.N.              
20021031,LEO,LEONI AG NA O.N.         
20091211,BYW6,BAYWA AG VINK.NA. O.N.
20091211,BOS3,HUGO BOSS AG VZO O.N.
20091211,CON,CONTINENTAL AG O.N.
20091211,FIE,FIELMANN AG O.N.
20091211,FRA,FRAPORT AG FFM.AIRPORT
20091211,FPE3,FUCHS PETROL.AG VZO O.N.
20091211,GIL,GILDEMEISTER AG O.N.
20091211,GBF,BILFINGER BERGER AG
20091211,HEI,HEIDELBERGCEMENT AG O.N.
20091211,HOT,HOCHTIEF AG
20091211,DOU,DOUGLAS HOLDING O.N.
20091211,IVG,IVG IMMOBILIEN AG O.N.
20091211,KRN,KRONES AG O.N.
20091211,MLP,MLP AG
20091211,G1A,GEA GROUP AG
20091211,NDA,AURUBIS AG
20091211,PUM,PUMA AG
20091211,RAA,RATIONAL AG
20091211,RHM,RHEINMETALL AG
20091211,RHK,RHOEN-KLINIKUM O.N.
20091211,SGL,SGL CARBON SE O.N.
20091211,SAZ,STADA ARZNEIMITT.VNA O.N.
20091211,SZU,SUEDZUCKER MA./OCHS. O.N.
20091211,HDD,HEIDELBERG.DRUCKMA.O.N.
20091211,VOS,VOSSLOH AG O.N.
20091211,PSM,PROSIEBENSAT.1 O.N.VZO
20091211,HNR1,HANN.RUECKVER.AG NA O.N.
20091211,EAD,EUROP.AERON.DEF.+SP. EADS
20091211,DEQ,DEUTSCHE EUROSHOP AG O.N.
20091211,PFD4,PFLEIDERER AG
20091211,ZIL2,ELRINGKLINGER AG NA O.N.
20091211,ARL,AAREAL BANK AG
20091211,LEO,LEONI AG NA O.N.
20091211,B5A,BAUER AG
20091211,LXS,LANXESS AG
20091211,DPB,DEUTSCHE POSTBANK AG NA
20091211,WIN,WINCOR NIXDORF O.N.
20091211,MTX,MTU AERO ENGINES NA O.N.
20091211,TUI1,TUI AG NA
20091211,PRA,PRAKTIKER BAU-U.H.HLDG ON
20091211,WCH,WACKER CHEMIE        O.N.
20091211,D9C,DEMAG CRANES AG
20091211,KCO,KLOECKNER + CO SE NA
20091211,CLS1,CELESIO AG NAM. O.N.
20091211,GFJ,"GAGFAH S.A. NOM.  EO 1,25"
20091211,SY1,SYMRISE AG INH. O.N.
20091211,GXI,GERRESHEIMER AG
20091211,TGM,TOGNUM AG
20091211,HHFA,HAMBURG.HAFEN U.LOG.A-SP
20091211,SKYD,SKY DTLD AG NA
20091214,ARL,AAREAL BANK AG
20091214,NDA,AURUBIS AG
20091214,B5A,BAUER AG
20091214,BYW6,BAYWA AG VINK.NA. O.N.
20091214,GBF,BILFINGER BERGER AG
20091214,CLS1,CELESIO AG NAM. O.N.
20091214,CON,CONTINENTAL AG O.N.
20091214,D9C,DEMAG CRANES AG
20091214,DEQ,DEUTSCHE EUROSHOP AG O.N.
20091214,DPB,DEUTSCHE POSTBANK AG NA
20091214,DOU,DOUGLAS HOLDING O.N.
20091214,ZIL2,ELRINGKLINGER AG NA O.N.
20091214,EAD,EUROP.AERON.DEF.+SP. EADS
20091214,FIE,FIELMANN AG O.N.
20091214,FRA,FRAPORT AG FFM.AIRPORT
20091214,FPE3,FUCHS PETROL.AG VZO O.N.
20091214,GFJ,"GAGFAH S.A. NOM.  EO 1,25"
20091214,G1A,GEA GROUP AG
20091214,GXI,GERRESHEIMER AG
20091214,GIL,GILDEMEISTER AG O.N.
20091214,HHFA,HAMBURG.HAFEN U.LOG.A-SP
20091214,HNR1,HANN.RUECKVER.AG NA O.N.
20091214,HEI,HEIDELBERGCEMENT AG O.N.
20091214,HDD,HEIDELBERG.DRUCKMA.O.N.
20091214,HOT,HOCHTIEF AG
20091214,BOS3,HUGO BOSS AG VZO O.N.
20091214,IVG,IVG IMMOBILIEN AG O.N.
20091214,KCO,KLOECKNER + CO SE NA
20091214,KRN,KRONES AG O.N.
20091214,LXS,LANXESS AG
20091214,LEO,LEONI AG NA O.N.
20091214,MLP,MLP AG
20091214,MTX,MTU AERO ENGINES NA O.N.
20091214,PFD4,PFLEIDERER AG
20091214,PRA,PRAKTIKER BAU-U.H.HLDG ON
20091214,PSM,PROSIEBENSAT.1 O.N.VZO
20091214,PUM,PUMA AG
20091214,RAA,RATIONAL AG
20091214,RHM,RHEINMETALL AG
20091214,RHK,RHOEN-KLINIKUM O.N.
20091214,SGL,SGL CARBON SE O.N.
20091214,SKYD,SKY DTLD AG NA
20091214,SAZ,STADA ARZNEIMITT.VNA O.N.
20091214,SZU,SUEDZUCKER MA./OCHS. O.N.
20091214,SY1,SYMRISE AG INH. O.N.
20091214,TGM,TOGNUM AG
20091214,TUI1,TUI AG NA
20091214,VOS,VOSSLOH AG O.N.
20091214,WCH,WACKER CHEMIE        O.N.
20091214,WIN,WINCOR NIXDORF O.N.
20091215,ARL,AAREAL BANK AG
20091215,NDA,AURUBIS AG
20091215,B5A,BAUER AG
20091215,BYW6,BAYWA AG VINK.NA. O.N.
20091215,GBF,BILFINGER BERGER AG
20091215,CLS1,CELESIO AG NAM. O.N.
20091215,CON,CONTINENTAL AG O.N.
20091215,D9C,DEMAG CRANES AG
20091215,DEQ,DEUTSCHE EUROSHOP AG O.N.
20091215,DPB,DEUTSCHE POSTBANK AG NA
20091215,DOU,DOUGLAS HOLDING O.N.
20091215,ZIL2,ELRINGKLINGER AG NA O.N.
20091215,EAD,EUROP.AERON.DEF.+SP. EADS
20091215,FIE,FIELMANN AG O.N.
20091215,FRA,FRAPORT AG FFM.AIRPORT
20091215,FPE3,FUCHS PETROL.AG VZO O.N.
20091215,GFJ,"GAGFAH S.A. NOM.  EO 1,25"
20091215,G1A,GEA GROUP AG
20091215,GXI,GERRESHEIMER AG
